line;x;y
mid;0;0,970264317
mid;0,001602564;0,941629956
mid;0,002884615;0,908590308
mid;0,004487179;0,879955947
mid;0,006730769;0,84030837
mid;0,008012821;0,816079295
mid;0,009615385;0,789647577
mid;0,011217949;0,765418502
mid;0,012820513;0,738986784
mid;0,01474359;0,710352423
mid;0,016346154;0,690528634
mid;0,021153846;0,631057269
mid;0,023076923;0,613436123
mid;0,025;0,593612335
mid;0,026923077;0,578193833
mid;0,028205128;0,567180617
mid;0,029807692;0,556167401
mid;0,031410256;0,547356828
mid;0,033012821;0,536343612
mid;0,034615385;0,531938326
mid;0,036217949;0,525330396
mid;0,03974359;0,514317181
mid;0,037820513;0,516519824
mid;0,041666667;0,509911894
mid;0,044230769;0,507709251
mid;0,046153846;0,507709251
mid;0,048076923;0,505506608
mid;0,05224359;0,498898678
mid;0,050320513;0,501101322
mid;0,054487179;0,496696035
mid;0,056730769;0,494493392
mid;0,058653846;0,490088106
mid;0,060897436;0,487885463
mid;0,064102564;0,485682819
mid;0,066346154;0,483480176
mid;0,069871795;0,481277533
mid;0,071474359;0,47907489
mid;0,074358974;0,47907489
mid;0,078205128;0,476872247
mid;0,081410256;0,476872247
mid;0,08525641;0,47246696
mid;0,088141026;0,470264317
mid;0,090384615;0,470264317
mid;0,092628205;0,468061674
mid;0,095833333;0,465859031
mid;0,098717949;0,459251101
mid;0,102564103;0,452643172
mid;0,108012821;0,441629956
mid;0,113141026;0,428414097
mid;0,117307692;0,417400881
mid;0,123717949;0,399779736
mid;0,130128205;0,384361233
mid;0,133012821;0,379955947
mid;0,136538462;0,371145374
mid;0,140064103;0,362334802
mid;0,143589744;0,357929515
mid;0,146474359;0,351321586
mid;0,150320513;0,342511013
mid;0,153205128;0,338105727
mid;0,156730769;0,331497797
mid;0,159615385;0,324889868
mid;0,1625;0,322687225
mid;0,165705128;0,320484581
mid;0,168589744;0,318281938
mid;0,171474359;0,316079295
mid;0,173397436;0,307268722
mid;0,175641026;0,307268722
mid;0,177884615;0,305066079
mid;0,181730769;0,302863436
mid;0,183974359;0,29845815
mid;0,187179487;0,300660793
mid;0,191025641;0,29845815
mid;0,195192308;0,294052863
mid;0,2;0,294052863
mid;0,207051282;0,294052863
mid;0,212179487;0,294052863
mid;0,215705128;0,29185022
mid;0,219871795;0,29185022
mid;0,225;0,294052863
mid;0,229166667;0,296255507
mid;0,234294872;0,300660793
mid;0,240064103;0,305066079
mid;0,246153846;0,311674009
mid;0,248717949;0,313876652
up;-0,000320513;1,210352423
up;0,001602564;1,175110132
up;0,003205128;1,133259912
up;0,004487179;1,102422907
up;0,005448718;1,082599119
up;0,006410256;1,06277533
up;0,007051282;1,047356828
up;0,008012821;1,034140969
up;0,008333333;1,018722467
up;0,009615385;1,003303965
up;0,01025641;0,985682819
up;0,011217949;0,970264317
up;0,012179487;0,950440529
up;0,013461538;0,93061674
up;0,01474359;0,910792952
up;0,016987179;0,879955947
up;0,018269231;0,855726872
up;0,020512821;0,835903084
up;0,022435897;0,813876652
up;0,024038462;0,796255507
up;0,025320513;0,783039648
up;0,026602564;0,765418502
up;0,028846154;0,754405286
up;0,030769231;0,745594714
up;0,032371795;0,736784141
up;0,034294872;0,730176211
up;0,036217949;0,723568282
up;0,038461538;0,716960352
up;0,037179487;0,719162996
up;0,03974359;0,716960352
up;0,040705128;0,716960352
up;0,041987179;0,721365639
up;0,043589744;0,723568282
up;0,045192308;0,723568282
up;0,046794872;0,721365639
up;0,049038462;0,723568282
up;0,050961538;0,721365639
up;0,05224359;0,723568282
up;0,053525641;0,723568282
up;0,055769231;0,721365639
up;0,058012821;0,721365639
up;0,059615385;0,721365639
up;0,061538462;0,723568282
up;0,063141026;0,723568282
up;0,06474359;0,723568282
up;0,066987179;0,723568282
up;0,068589744;0,725770925
up;0,071153846;0,725770925
up;0,073076923;0,727973568
up;0,075;0,732378855
up;0,076923077;0,732378855
up;0,079166667;0,734581498
up;0,081410256;0,736784141
up;0,083012821;0,74339207
up;0,084935897;0,74339207
up;0,086217949;0,74339207
up;0,087820513;0,745594714
up;0,089423077;0,745594714
up;0,091666667;0,747797357
up;0,093589744;0,745594714
up;0,095512821;0,741189427
up;0,098076923;0,734581498
up;0,100641026;0,727973568
up;0,102884615;0,721365639
up;0,105448718;0,712555066
up;0,108012821;0,699339207
up;0,112179487;0,681718062
up;0,116666667;0,661894273
up;0,119871795;0,644273128
up;0,122435897;0,626651982
up;0,125;0,61123348
up;0,130128205;0,591409692
up;0,148397436;0,514317181
up;0,150641026;0,507709251
up;0,15224359;0,501101322
up;0,133333333;0,578193833
up;0,13525641;0,567180617
up;0,137820513;0,556167401
up;0,140705128;0,540748899
up;0,142948718;0,534140969
up;0,144871795;0,529735683
up;0,146794872;0,523127753
up;0,154166667;0,496696035
up;0,155769231;0,492290749
up;0,157692308;0,487885463
up;0,159615385;0,481277533
up;0,1625;0,474669604
up;0,165384615;0,470264317
up;0,167948718;0,465859031
up;0,170192308;0,461453744
up;0,17275641;0,454845815
up;0,175641026;0,452643172
up;0,178525641;0,450440529
up;0,181410256;0,446035242
up;0,18525641;0,441629956
up;0,187820513;0,441629956
up;0,190384615;0,439427313
up;0,193910256;0,439427313
up;0,197435897;0,439427313
up;0,200961538;0,439427313
up;0,204807692;0,439427313
up;0,208333333;0,443832599
up;0,211858974;0,443832599
up;0,215384615;0,446035242
up;0,217948718;0,448237885
up;0,220512821;0,452643172
up;0,223076923;0,457048458
up;0,226282051;0,463656388
up;0,232371795;0,476872247
up;0,234935897;0,485682819
up;0,237820513;0,492290749
up;0,240384615;0,498898678
up;0,242948718;0,505506608
up;0,245512821;0,507709251
up;0,24775641;0,514317181
up;0,229487179;0,470264317
up;0,12724359;0,602422907
up;0,113782051;0,672907489
low;-0,000641026;0,794052863
low;0,000641026;0,769823789
low;0,002564103;0,747797357
low;0,003846154;0,723568282
low;0,005769231;0,697136564
low;0,007051282;0,672907489
low;0,008333333;0,655286344
low;0,009935897;0,637665198
low;0,011217949;0,61123348
low;0,012179487;0,598017621
low;0,013782051;0,575991189
low;0,015705128;0,551762115
low;0,017307692;0,529735683
low;0,019230769;0,514317181
low;0,021153846;0,492290749
low;0,023076923;0,468061674
low;0,025;0,452643172
low;0,027564103;0,435022026
low;0,030128205;0,417400881
low;0,033653846;0,397577093
low;0,035897436;0,384361233
low;0,039102564;0,373348018
low;0,041666667;0,366740088
low;0,043910256;0,362334802
low;0,045833333;0,360132159
low;0,048076923;0,355726872
low;0,049679487;0,351321586
low;0,051602564;0,349118943
low;0,053525641;0,3469163
low;0,055448718;0,344713656
low;0,057371795;0,342511013
low;0,058974359;0,338105727
low;0,060897436;0,333700441
low;0,0625;0,331497797
low;0,06474359;0,329295154
low;0,066987179;0,324889868
low;0,069230769;0,324889868
low;0,071474359;0,322687225
low;0,074358974;0,320484581
low;0,076602564;0,318281938
low;0,078205128;0,316079295
low;0,080128205;0,311674009
low;0,082692308;0,309471366
low;0,084935897;0,307268722
low;0,086858974;0,305066079
low;0,08974359;0,302863436
low;0,092307692;0,300660793
low;0,094230769;0,29845815
low;0,096474359;0,296255507
low;0,099358974;0,294052863
low;0,101923077;0,29185022
low;0,104807692;0,289647577
low;0,107692308;0,285242291
low;0,110576923;0,280837004
low;0,1125;0,276431718
low;0,11474359;0,272026432
low;0,117307692;0,267621145
low;0,119551282;0,267621145
low;0,122435897;0,263215859
low;0,124358974;0,263215859
low;0,126282051;0,258810573
low;0,130769231;0,254405286
low;0,134615385;0,25
low;0,137820513;0,24339207
low;0,140384615;0,24339207
low;0,143589744;0,241189427
low;0,146474359;0,236784141
low;0,149358974;0,232378855
low;0,152564103;0,234581498
low;0,154487179;0,232378855
low;0,156730769;0,225770925
low;0,158974359;0,225770925
low;0,161858974;0,221365639
low;0,163782051;0,219162996
low;0,166346154;0,216960352
low;0,169871795;0,214757709
low;0,174038462;0,210352423
low;0,177564103;0,210352423
low;0,182692308;0,205947137
low;0,186538462;0,20154185
low;0,192307692;0,20154185
low;0,195512821;0,199339207
low;0,2;0,194933921
low;0,204487179;0,192731278
low;0,208974359;0,192731278
low;0,21474359;0,192731278
low;0,219230769;0,190528634
low;0,224038462;0,190528634
low;0,228846154;0,190528634
low;0,233974359;0,190528634
low;0,242948718;0,190528634
low;0,249038462;0,192731278
